FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP,d0,d1,Degradation,Evapotranspiration,g0,Growth,infil c,Infiltration,k et,k perc,r,Percolation,NDVI sim raw,NDVI sim,NDVI obs,Precipitation norm,precipitation,Soil Water,Vegetation Biomass
119,0,1,1,0.08,0.35,0.018890309667133235,0.0036892571917463584,0.01,0.03319553644595713,0.6,0.027361030661660943,0.05,0.15,0.5,0.10643251859062482,0.12551946171349287,0.21296788669899902,0.133,0.15700374325386868,197.355,0.7095501239374988,0.10398862792873895
119,0,1,1,0.08,0.35,0.024915491425753153,0.0037072665854998386,0.01,0.03457175921892232,0.6,0.026937586894470313,0.05,0.15,0.5,0.09401840682251829,0.1210768454771684,0.12551946171349287,0.101,0.12029662504007572,151.944,0.6267893788167886,0.11829385470756285
119,0,1,1,0.08,0.35,0.030119400964047027,0.003557021673038249,0.01,0.03463917736843152,0.6,0.0009360775322613863,0.05,0.15,0.5,0.08340019384548612,0.1033572226145236,0.1210768454771684,0.091,0.0035138147778150204,7.47,0.5560012923032408,0.127950122500732
119,0,1,1,0.08,0.35,0.035171678293776716,0.0031129111764890555,0.01,0.03268648629402609,0.6,0.010778992844435325,0.05,0.15,0.5,0.07049702314754668,0.10867017944701828,0.1033572226145236,0.084,0.033894934728166425,45.055,0.4699801543169778,0.1324698989051165
119,0,1,1,0.08,0.35,0.0373703140852114,0.002646158554870847,0.01,0.029866614942583976,0.6,0.003423353554879252,0.05,0.15,0.5,0.061072381925606614,0.10453830887759583,0.10867017944701828,0.089,0.009623988669120228,15.029,0.4071492128373774,0.1299847069053659
119,0,1,1,0.08,0.35,0.037797772613894345,0.0021241515320118863,0.01,0.026106474905893615,0.6,0.00741411597020069,0.05,0.15,0.5,0.05202810388676688,0.10527513863685854,0.10453830887759583,0.088,0.01891898662865437,26.528,0.3468540259117792,0.12248100776273847
119,0,1,1,0.08,0.35,0.0360021621081097,0.0016624876022039324,0.01,0.022226992356202346,0.6,0.008739294523906597,0.05,0.15,0.5,0.04501738296948017,0.10440877731859548,0.10527513863685854,0.107,0.0208112894570107,28.869,0.30011588646320114,0.11078971005473774
119,0,1,1,0.08,0.35,0.032814066303670605,0.0012717408609352091,0.01,0.018506750311471823,0.6,0.13641583292638323,0.05,0.15,0.5,0.03932629656231355,0.14900524659856573,0.10440877731859548,0.14,0.30814870355176693,384.339,0.26217531041542363,0.09701454030283038
119,0,1,1,0.08,0.35,0.025201090814068527,0.0014804308056432945,0.01,0.019999946118518422,0.6,0.15283591560583495,0.05,0.15,0.5,0.05369896588778372,0.16175328708462255,0.14900524659856573,0.179,0.3967660290847462,493.969,0.35799310591855815,0.0827072243106316
119,0,1,1,0.08,0.35,0.020967148599929236,0.0017657808049365434,0.01,0.0218131376600083,0.6,0.17185702926088445,0.05,0.15,0.5,0.06834744372464491,0.18194002570923173,0.16175328708462255,0.208,0.5261838609232724,654.074,0.45564962483096605,0.07750607961508149
119,0,1,1,0.08,0.35,0.018405864635067878,0.0021836464136073086,0.01,0.024304545097014973,0.6,0.25658027197092675,0.05,0.15,0.5,0.08360901443434035,0.2524226224841575,0.18194002570923173,0.212,0.9661713476040089,1198.39,0.557393429562269,0.07835206867516056
119,0,1,1,0.08,0.35,0.014755392764146502,0.0030674899092585414,0.01,0.028800579962907462,0.6,0.06828255055965932,0.05,0.15,0.5,0.10922715610278722,0.16541333870202807,0.2524226224841575,0.163,0.4186766486769831,521.075,0.7281810406852481,0.08425074913710766
119,0,1,1,0.08,0.35,0.01872939314516779,0.0033625513541793877,0.01,0.03138230554462792,0.6,0.019900376330944453,0.05,0.15,0.5,0.10262534178492924,0.11663214341925583,0.16541333870202807,0.12,0.10501593616043112,133.04,0.6841689452328616,0.09829593633586861
119,0,1,1,0.08,0.35,0.024483248879395972,0.003317822296685055,0.01,0.032309035278684124,0.6,0.003060205130182674,0.05,0.15,0.5,0.08971221426370461,0.10312528296681718,0.11663214341925583,0.106,0.012689988083026916,18.822,0.5980814284246975,0.11094884873532873
119,0,1,1,0.08,0.35,0.029950323768644423,0.0030175384770344056,0.01,0.03141758364705904,0.6,0.02053330516634822,0.05,0.15,0.5,0.07621673954917357,0.11300915112980542,0.10312528296681718,0.062,0.06957304760214833,89.193,0.5081115969944905,0.11877463513461689
119,0,1,1,0.08,0.35,0.03279072007587552,0.002701899254246862,0.01,0.02977034720348519,0.6,0.0017915382876614895,0.05,0.15,0.5,0.06741159362019461,0.10289188431038936,0.11300915112980542,0.067,0.005423092556788814,9.832,0.44941062413463073,0.12024189501303151
119,0,1,1,0.08,0.35,0.0347701266502429,0.002233589695747544,0.01,0.026703936421400495,0.6,0.009754961123697602,0.05,0.15,0.5,0.05716330043217761,0.10592521465342672,0.10289188431038936,0.053,0.02626914024601623,35.621,0.38108866954785076,0.11722152214064119
119,0,1,1,0.08,0.35,0.03427408008078041,0.0018089589487561523,0.01,0.02336828181638099,0.6,0.0065241816849892715,0.05,0.15,0.5,0.04971701108154348,0.103517841620696,0.10592521465342672,0.089,0.016264427684475738,23.244,0.3314467405436232,0.10915533191179878
